child_table,child_key,parent_table,parent_key,status,nonnull_child_rows,orphan_rows,orphan_pct,sample_orphan_values
Application_StateProvinces,CountryID,Application_Countries,CountryID,ok,53,0,0.0,
Application_Cities,StateProvinceID,Application_StateProvinces,StateProvinceID,ok,37940,0,0.0,
Sales_Customers,CustomerCategoryID,Sales_CustomerCategories,CustomerCategoryID,ok,663,0,0.0,
Sales_Customers,BuyingGroupID,Sales_BuyingGroups,BuyingGroupID,ok,402,0,0.0,
Sales_Customers,DeliveryCityID,Application_Cities,CityID,ok,663,0,0.0,
Sales_Customers,PostalCityID,Application_Cities,CityID,ok,663,0,0.0,
Sales_Invoices,CustomerID,Sales_Customers,CustomerID,ok,70510,0,0.0,
Sales_Invoices,BillToCustomerID,Sales_Customers,CustomerID,ok,70510,0,0.0,
Sales_Invoices,OrderID,Sales_Orders,OrderID,ok,70510,0,0.0,
Sales_InvoiceLines,InvoiceID,Sales_Invoices,InvoiceID,ok,228265,0,0.0,
Sales_InvoiceLines,StockItemID,Warehouse_StockItems,StockItemID,ok,228265,0,0.0,
Sales_Orders,CustomerID,Sales_Customers,CustomerID,ok,73595,0,0.0,
Sales_OrderLines,OrderID,Sales_Orders,OrderID,ok,231412,0,0.0,
Sales_OrderLines,StockItemID,Warehouse_StockItems,StockItemID,ok,231412,0,0.0,
Sales_OrderLines,PackageTypeID,Warehouse_PackageTypes,PackageTypeID,ok,231412,0,0.0,
Purchasing_Suppliers,SupplierCategoryID,Purchasing_SupplierCategories,SupplierCategoryID,ok,13,0,0.0,
Purchasing_PurchaseOrders,SupplierID,Purchasing_Suppliers,SupplierID,ok,2074,0,0.0,
Purchasing_PurchaseOrderLines,PurchaseOrderID,Purchasing_PurchaseOrders,PurchaseOrderID,ok,8367,0,0.0,
Purchasing_PurchaseOrderLines,StockItemID,Warehouse_StockItems,StockItemID,ok,8367,0,0.0,
Purchasing_SupplierTransactions,SupplierID,Purchasing_Suppliers,SupplierID,ok,2438,0,0.0,
Warehouse_StockItems,SupplierID,Purchasing_Suppliers,SupplierID,ok,227,0,0.0,
Warehouse_StockItems,UnitPackageID,Warehouse_PackageTypes,PackageTypeID,ok,227,0,0.0,
Warehouse_StockItems,OuterPackageID,Warehouse_PackageTypes,PackageTypeID,ok,227,0,0.0,
Warehouse_StockItemHoldings,StockItemID,Warehouse_StockItems,StockItemID,ok,227,0,0.0,
Warehouse_StockItemStockGroups,StockItemID,Warehouse_StockItems,StockItemID,ok,442,0,0.0,
Warehouse_StockItemStockGroups,StockGroupID,Warehouse_StockGroups,StockGroupID,ok,442,0,0.0,
